name;artist;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;duration_ms;time_signature;id;html
Contando Lunares (feat. Cruz Cafuné);Don Patricio;0.856;0.523;04;-10.481;0;0.131;0.442;0.0;0.0537;0.709;105.935;;0219667;04;6uW0PIRcyZLvkoonm763xD;https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
Que Va;Alex Sensation;0.766;0.827;0;-3.332;01;0.0538;0.148;0.0;0.0518;0.831;91.03;;023816;04;6J1R5wtPXiHiwiPstOSI56;https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
Bonita;J Balvin;0.775;0.867;05;-1.582;0;0.0414;0.0132;0.00684;0.278;0.869;96.038;;0265747;04;0atfY1ew83Ql9nNnJiD2t5;https://open.spotify.com/track/0atfY1ew83Ql9nNnJiD2t5
Tattoo;Rauw Alejandro;0.755;0.617;09;-5.144;01;0.182;0.0217;0.0;0.0625;0.745;193.896;;0202887;04;7na7Bk98usp84FaOJFPv3d;https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
Mala Mujer;C. Tangana;0.836;0.731;0;-4.572;0;0.133;0.238;2.19e-05;0.0698;0.473;100.974;;0222896;04;6puxHBNwu2Nmm7uD3Rd2MP;https://open.spotify.com/track/6puxHBNwu2Nmm7uD3Rd2MP
Amorfoda;Bad Bunny;0.749;0.418;09;-7.925;0;0.0587;0.985;0.000126;0.0832;0.307;147.887;;0153887;03;68QcquxCS39cQGTsRrJWIR;https://open.spotify.com/track/68QcquxCS39cQGTsRrJWIR
Vaina Loca;Ozuna;0.754;0.805;06;-4.249;01;0.0752;0.315;0.0;0.203;0.555;93.982;;0176133;04;48zFZh27QU5qsrBjn4C2FA;https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
No Es Justo;J Balvin;0.684;0.811;07;-4.494;01;0.0714;0.161;0.000363;0.0871;0.721;87.866;;025084;04;5qFeMRz4TvetPmzjre9Dq7;https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
Otro Trago;Sech;0.746;0.7;0;-4.669;01;0.341;0.136;0.000159;0.11;0.619;176.044;;0225933;04;1Ej96GIBCTvgH7tNX1r3qr;https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
Alocao (With Bad Gyal);Omar Montes;0.673;0.752;011;-4.705;0;0.0567;0.214;1.53e-06;0.106;0.699;178.005;;020932;04;6RyuoOJXNzlVWpfC5xQyeI;https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
Se iluminaba;Fred De Palma;0.791;0.693;0;-4.98;0;0.0639;0.0811;0.0;0.0708;0.624;123.923;;0174291;04;3VPOZWtj8mM89IiRNygxgS;https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
Me Niego (feat. Ozuna & Wisin);Reik;0.777;0.779;0;-4.449;0;0.0972;0.0543;0.0;0.636;0.768;94.023;;0221653;04;6jA8JUuPCGYjFcgw0AoM5T;https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
Safaera;Bad Bunny;0.607;0.829;02;-4.074;01;0.379;0.0103;0.0;0.107;0.685;96.172;;0295177;04;2DEZmgHKAvm41k4J3R2E9Y;https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
Buenos Genes;Rels B;0.804;0.535;04;-8.603;0;0.143;0.486;0.0;0.108;0.628;151.957;;0245191;04;76NtMPMpA6fuUH4euMYZoD;https://open.spotify.com/track/76NtMPMpA6fuUH4euMYZoD
Bella;Wolfine;0.909;0.493;03;-6.688;01;0.0735;0.128;0.000147;0.127;0.844;94.016;;019712;04;3xcCix7Jv1Rp90YVmgo35D;https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
Condiciones;Maikel Delacalle;0.811;0.532;09;-6.843;0;0.118;0.0613;0.0;0.261;0.569;140.01;;0195429;04;2xcaABUXHZ5WNc6TtmghbX;https://open.spotify.com/track/2xcaABUXHZ5WNc6TtmghbX
Ahora Dice;Chris Jedi;0.704;0.69;06;-5.451;01;0.16;0.249;0.0;0.123;0.402;144.045;;027108;04;5LVoGJTyG6fLJgoGkY2QAZ;https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ
To My Love - Tainy Remix;Bomba Estéreo;0.764;0.59;07;-4.292;01;0.0395;0.129;0.00847;0.0851;0.281;99.996;;0251773;04;5LciLoxa1gK70yIUeoHgRx;https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
Mayores;Becky G;0.745;0.836;05;-4.336;0;0.0444;0.145;0.00314;0.116;0.874;96.993;;0203187;04;2AY1UAimvTqjJC8vDJsOyy;https://open.spotify.com/track/2AY1UAimvTqjJC8vDJsOyy
Secreto;Anuel AA;0.807;0.803;011;-4.156;01;0.126;0.602;0.00853;0.136;0.706;91.987;;02588;04;5W83ErFkO3aKAIS1WMi6u0;https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
Miss Lonely;Sech;0.692;0.675;0;-5.834;01;0.169;0.302;0.0;0.166;0.713;81.901;;0193281;04;7gXfTAzWtoKwU7hGT0AUrC;https://open.spotify.com/track/7gXfTAzWtoKwU7hGT0AUrC
Ibiza;Ozuna;0.69;0.71;05;-5.144;01;0.335;0.25;0.0;0.108;0.726;192.068;;0200747;04;1h9P5WJwyvK8OB7O2YiXgp;https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
No Te Debí Besar;C. Tangana;0.672;0.684;09;-5.682;0;0.316;0.125;0.0261;0.183;0.62;75.233;;0182816;03;1KdwnsWOvhM53vezy5ROuf;https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
Sensualidad;Bad Bunny;0.807;0.681;011;-6.268;01;0.0983;0.423;0.0;0.0962;0.676;140.006;;0297485;04;5hcisvFMidkMJlElTO9Qmw;https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
Felices los 4;Maluma;0.766;0.756;05;-5.861;01;0.132;0.213;0.0;0.349;0.716;94.027;;023;04;1RouRzlg8OKFeqc6LvdxmB;https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
Sin Pijama;Becky G;0.791;0.745;011;-3.695;0;0.0464;0.354;2.93e-05;0.104;0.82;94.014;;018856;04;2ijef6ni2amuunRoKTlgww;https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
Escápate Conmigo (feat. Ozuna);Wisin;0.744;0.859;011;-3.166;01;0.0795;0.0256;6.27e-05;0.0881;0.787;91.977;;0232787;04;1KSqYYJFyfTecXFk9M0prc;https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
Guerrera;DELLAFUENTE;0.76;0.605;06;-6.122;01;0.052;0.165;0.0;0.185;0.644;115.09;;0208696;04;3Q6zROQvMXRtR9NYfDpNWL;https://open.spotify.com/track/3Q6zROQvMXRtR9NYfDpNWL
Ahora Me Llama;KAROL G;0.646;0.573;07;-5.716;0;0.041;0.00949;3.98e-05;0.0932;0.109;134.979;;0235227;04;0alSPoUfrGb0RdVVG4Lf3n;https://open.spotify.com/track/0alSPoUfrGb0RdVVG4Lf3n
Usted;Juan Magán;0.712;0.833;0;-4.101;01;0.0618;0.0155;0.0;0.273;0.326;104.879;;0233749;04;79HTe42PihWUUq4BDjcuCq;https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
Perro Fiel (feat. Nicky Jam);Shakira;0.75;0.76;01;-4.836;01;0.198;0.187;0.0;0.0548;0.893;183.817;;0195213;04;70lnL3QaSOIIyMa2X9aVRL;https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
"""Yo x Ti Tu x Mi""";ROSALÍA;0.78;0.759;01;-3.292;01;0.225;0.462;0.000868;0.143;0.579;91.952;;020104;04;7BlBVFwvbWvcwNcUarQmjk;https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
Nunca Estoy;C. Tangana;0.917;0.377;02;-5.132;01;0.161;0.474;0.00367;0.298;0.398;134.994;;0162222;04;6f4LYJwICqxoAILj82kwB0;https://open.spotify.com/track/6f4LYJwICqxoAILj82kwB0
Picky;Joey Montana;0.783;0.748;08;-4.683;01;0.0892;0.147;0.0;0.173;0.806;93.222;;0182747;04;4tPL9PeVZY4c0jUPtSD5nx;https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx
Quiere Beber;Anuel AA;0.773;0.57;08;-3.482;01;0.113;0.372;0.00524;0.108;0.772;95.038;;0187125;04;3rPAD722s5FFNnwjC91t7Z;https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
Baila Conmigo (feat. Kelly Ruiz);Dayvi;0.745;0.972;07;-3.506;01;0.0774;0.00903;0.465;0.297;0.556;128.031;;0189818;04;4Clmg1g8n2yBYG13Z1oSdG;https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
Te Boté - Remix;Nio Garcia;0.903;0.675;011;-3.445;0;0.214;0.542;1.28e-05;0.0595;0.442;96.507;;041792;04;3V8UKqhEK5zBkBb6d6ub8i;https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
Con Altura;ROSALÍA;0.882;0.689;06;-4.027;01;0.124;0.39;0.00325;0.0501;0.746;97.963;;0161627;04;2qG5sZ7Si6sdK74qLxedYM;https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
Zorra;Bad Gyal;0.637;0.65;011;-6.646;01;0.185;0.682;2.2e-06;0.0786;0.736;176.075;;018612;04;0OP1RzrglC008kj79Httv3;https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
Calma - Remix;Pedro Capó;0.826;0.773;011;-4.218;0;0.0524;0.323;0.0;0.143;0.761;126.899;;02382;04;5iwz1NiezX7WWjnCgY5TH4;https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
Síguelo Bailando;Ozuna;0.855;0.664;09;-7.11;0;0.0607;0.165;3.97e-05;0.0937;0.626;98.015;;02268;04;5Y9fnynLlIvqtM710MHzfz;https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
Downtown;Anitta;0.775;0.679;04;-4.985;0;0.135;0.18;7.26e-05;0.068;0.619;166.008;;0193456;04;3Ga6eKrUFf12ouh9Yw3v2D;https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
Booty;C. Tangana;0.825;0.771;01;-4.116;01;0.0805;0.0167;2.04e-06;0.0901;0.717;102.928;;0173366;04;4W3FJapn5CD6Fnrlfj4HFe;https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe
Behold Christ The Lord - Live;Ricky Dillard;0.603;0.928;01;-5.696;01;0.0946;0.195;0.0;0.943;0.564;101.952;;030647;04;4GD1C6jdqDHAEe7R6n3F4p;https://open.spotify.com/track/4GD1C6jdqDHAEe7R6n3F4p
Just Like God;Evvie McKinney;0.424;0.757;08;-4.201;01;0.0813;0.15;6.06e-06;0.214;0.306;154.424;;0180946;04;56rwjJ8kxKhVs16jjfLIbG;https://open.spotify.com/track/56rwjJ8kxKhVs16jjfLIbG
Here We Are;Cross Worship;0.592;0.891;011;-4.093;0;0.132;0.195;0.0;0.125;0.475;119.986;;027754;04;3Edww8KursYqB9E9MLHRXC;https://open.spotify.com/track/3Edww8KursYqB9E9MLHRXC
Break Every Chain - Live;Tasha Cobbs Leonard;0.362;0.685;09;-6.53;01;0.0535;0.0155;0.0;0.569;0.161;113.023;;0498427;04;2cut7Izp9DLQ26dP8HQ1fE;https://open.spotify.com/track/2cut7Izp9DLQ26dP8HQ1fE
Fear Is Not Welcome (with Hillary Scott);Brian Courtney Wilson;0.512;0.481;01;-7.833;01;0.0345;0.0931;0.0;0.151;0.253;129.982;;0256171;04;2I81EjsoGIPaYHr3sulicG;https://open.spotify.com/track/2I81EjsoGIPaYHr3sulicG
The Table;Jonathan Traylor;0.52;0.565;09;-6.551;01;0.0325;0.0303;0.0;0.0659;0.173;96.015;;0260022;04;6YkYoeZXZUK5SP8EReOOQI;https://open.spotify.com/track/6YkYoeZXZUK5SP8EReOOQI
Never Alone;Tori Kelly;0.561;0.541;01;-8.631;01;0.136;0.246;2.64e-06;0.173;0.551;90.941;;0214009;04;7vF5RIx2jHtt9Y0OElOZKK;https://open.spotify.com/track/7vF5RIx2jHtt9Y0OElOZKK
Anyhow - Radio Edit;Tye Tribbett;0.423;0.432;09;-6.267;0;0.0384;0.573;0.0;0.0834;0.391;151.864;;0238098;03;4YYMP4WMs75a36aHeMOBEX;https://open.spotify.com/track/4YYMP4WMs75a36aHeMOBEX
Breakthrough - Live;Ricky Dillard;0.509;0.792;03;-6.836;01;0.0626;0.23;0.0;0.851;0.256;113.875;;0312002;04;7EI0xTETaq9dRL9RCxSqOK;https://open.spotify.com/track/7EI0xTETaq9dRL9RCxSqOK
Lean Back;WorshipMob;0.353;0.287;05;-7.838;01;0.0305;0.639;0.0;0.392;0.336;140.352;;0478532;04;6Tv4w9fpMuWX7FjgjcJR8w;https://open.spotify.com/track/6Tv4w9fpMuWX7FjgjcJR8w
Amazing Grace;Keith & Kristyn Getty;0.283;0.145;01;-9.869;01;0.0321;0.898;0.0;0.0994;0.303;95.781;;0250687;03;2GoQGvgr7GpujBbb6LFzLA;https://open.spotify.com/track/2GoQGvgr7GpujBbb6LFzLA
All Of My Help - Live;Ricky Dillard;0.444;0.869;01;-7.098;0;0.295;0.154;6.5e-06;0.709;0.441;179.795;;0523581;04;154bIY3JeBAexCaxSF5B5m;https://open.spotify.com/track/154bIY3JeBAexCaxSF5B5m
The Potter's House - Live;Tramaine Hawkins;0.44;0.625;01;-10.405;01;0.143;0.705;0.0;0.697;0.581;129.083;;0395064;05;2GLX6WynSRAirDye9AtKkw;https://open.spotify.com/track/2GLX6WynSRAirDye9AtKkw
